Left_Shoulder_X,Left_Shoulder_Y,DELTOID_NonAffected_upper,DELTOID_NonAffected_lower
0.47272885,-0.50001353,0.1394086402060706,-0.0233096889068693
0.47706488,-0.50188625,0.1425670687506372,-0.0258886631414972
0.4804545,-0.5030726,0.1450586781318055,-0.0279508333876847
0.48383734,-0.50317127,0.1469039109179539,-0.0295058931447002
0.48547328,-0.50373685,0.1481623997338261,-0.0305953568356286
0.48661184,-0.504002,0.1488937772041659,-0.0312607388835548
0.48707107,-0.50406766,0.1491576759537173,-0.0315435537115637
0.48739648,-0.50409174,0.149017311886256,-0.0314876594743385
0.4880679,-0.50412935,0.1485286535389093,-0.0311329491676296
0.48944756,-0.50403947,0.1477507590414369,-0.0305197587078067
0.49050036,-0.5040009,0.1467432610185826,-0.0296896025179548
0.49126682,-0.50401294,0.1455657920950905,-0.0286839950211588
0.49224606,-0.50403666,0.1465853530932212,-0.0252163066638921
0.49272558,-0.5040289,0.1453805972006806,-0.026006207093383
0.49332482,-0.5038253,0.1436808580454217,-0.0258297790160438
0.4938244,-0.50367963,0.1402669812592693,-0.0233050511246431
0.49452108,-0.50346917,0.1393882314923165,-0.0207326707769532
0.49543363,-0.50298476,0.1404804001555758,-0.0219061243162071
0.49654096,-0.5029318,0.1441907985874966,-0.0248370170705811
0.4977766,-0.5032426,0.145096167669086,-0.0254024979591171
0.49984404,-0.5034106,0.1440577066724914,-0.0262970388716087
0.50062865,-0.50353813,0.1450748270181605,-0.0279976065603393
0.5009882,-0.50378394,0.1446317697164788,-0.0280872273247239
0.50136936,-0.50347954,0.1478356452844445,-0.0290312453282064
0.5020447,-0.5028615,0.1452965001740362,-0.0298115791937578
0.5024091,-0.5024539,0.1501384650198041,-0.0321891330705149
0.5023605,-0.5022687,0.1477901603963216,-0.0330802095244941
0.5024743,-0.5020035,0.1484364204718323,-0.0321794450279269
0.50253856,-0.50182086,0.1504268043563751,-0.0308701497268833
0.50250024,-0.501698,0.1503957056432035,-0.0311894069483819
0.50253385,-0.5016382,0.1469441312892498,-0.0304462548757279
0.50257903,-0.5014684,0.1475221179996232,-0.0299676282305097
0.50260377,-0.50122446,0.1474497530837929,-0.0270079625352222
0.50309706,-0.5010596,0.1443415959231132,-0.0236682373437068
0.5029922,-0.50093514,0.1424581354488391,-0.0266604555965219
0.50288373,-0.5010421,0.1443926002363046,-0.0271491475328765
0.5026499,-0.5008736,0.1429564928575891,-0.0263125521389576
0.5036668,-0.5003052,0.1446840508212911,-0.0259290301027169
0.5040994,-0.4995931,0.1455090836461853,-0.0262930651161057
0.5043214,-0.4988426,0.1444473609452777,-0.0253107679084829
0.50378054,-0.49836728,0.1417761031949806,-0.0231503631328026
0.50324255,-0.4978811,0.1437947258037133,-0.0244673534349333
0.50265115,-0.4977865,0.1415282712381985,-0.024091810605204
0.5005352,-0.49782708,0.1422294513835824,-0.0233491765499097
0.49821642,-0.49783102,0.1451572696037075,-0.0252401591661954
0.49550977,-0.49777004,0.1416857413621347,-0.0258465361854281
0.4943648,-0.49751127,0.1446152381120345,-0.0264867819311881
0.49475196,-0.49717468,0.141085310589411,-0.0244477979755209
0.4965308,-0.49729955,0.1434398815297765,-0.0249302700239147
0.49715197,-0.4970258,0.1411400599045441,-0.0230309554219162
0.49717426,-0.49697438,0.1424409581265024,-0.0250120230228506
0.49792242,-0.49690026,0.1426661610487444,-0.0261083678517065
0.4985184,-0.49695402,0.1424191102269748,-0.0259142036725978
0.49905854,-0.4965349,0.135408831227422,-0.0122527180893352
0.49938968,-0.49637845,0.1350498394017705,-0.0160677010476625
0.4983015,-0.49720085,0.1376657689733359,-0.0230347410465151
0.49655023,-0.4978915,0.1439316014084857,-0.0265469353202641
