Left_Wrist_X,Left_Wrist_Y,FOREARM_NonAffected_upper,FOREARM_NonAffected_lower
0.6459274,0.48058173,0.3457947538898211,0.0003873616972423
0.6389054,0.4681429,0.3420111932316617,0.0001560168822997
0.6387855,0.46602577,0.338831402041554,-4.4404795711306744e-05
0.6477939,0.4695449,0.3362129225473845,-0.0002152863469087
0.65521157,0.47517183,0.3340935967857853,-0.0003593827440718
0.6600182,0.47787353,0.3324752071695602,-0.0004750556757719
0.6620579,0.47795373,0.331290304254506,-0.000565352223886
0.6641787,0.47801352,0.3304964302685089,-0.0006316553985321
0.6670024,0.4772814,0.3300481110311633,-0.0006756964624626
0.67234665,0.47928655,0.3299119498705521,-0.000697943532317
0.6772278,0.4825704,0.3300389926442306,-0.000700360971931
0.67990786,0.480822,0.3332609550042458,-0.0006882660777766
0.6876517,0.4781719,0.3314381555310364,-0.0006716549837087
0.6971942,0.4685591,0.3343243071645622,-0.0004814920506853
0.708124,0.46114326,0.3338811222700926,-0.0004434924495428
0.7162466,0.46027428,0.3306564300332653,-0.0002518601560226
0.731917,0.4582308,0.3329758082489674,3.330294009792753e-05
0.7511208,0.45091477,0.3333257197607812,-0.0001136108356871
0.78276515,0.43868965,0.3319005226603024,-0.0003535912140856
0.81576306,0.42706037,0.3323801893302261,-0.0007206087972516
0.8367679,0.41678217,0.3347874262371828,-0.0009395501662943
0.8622462,0.4030493,0.3338513941167654,-0.0012498798022638
0.889708,0.40865117,0.3369984759092782,-0.0014252569695824
0.93750274,0.4106819,0.3361327317954192,-0.0015973633284347
0.969505,0.3981433,0.3351218954193753,-0.0016482785082559
1.0119617,0.3868733,0.3343348629441971,-0.0016449229215565
1.0830735,0.37424973,0.3361295366049358,-0.0016058436341177
1.1688111,0.33494708,0.3363039300221951,-0.0015766459215965
1.2581755,0.28047115,0.3346918072213141,-0.0014026983956959
1.3724415,0.2360762,0.3339352586670074,-0.0015070644094256
1.5045334,0.16126248,0.3328056734547801,-0.0009902751485743
1.6216592,0.06028008,0.3363971104718952,-0.0012605632049741
1.745708,-0.078466006,0.3349824403221368,-0.0013714458438037
1.8135775,-0.17829283,0.3352806377002285,-0.0012802982292646
1.8142372,-0.32259142,0.3346164691206681,-0.0011973797118828
1.8072166,-0.44007263,0.3368682173935076,-0.0013418818601876
1.8204725,-0.58892596,0.3323250341848661,-0.001597151791119
1.7336313,-0.7003343,0.3338066938010537,-0.0020378494918806
1.663362,-0.8512696,0.3339903668637289,-0.002250492805454
1.617098,-0.95903856,0.3367960496132006,-0.0023385872130006
1.465085,-1.0367334,0.3361674397963586,-0.0021618059710292
1.372408,-1.1255404,0.3341621955150275,-0.0023365305588709
1.274609,-1.2108964,0.334925470476825,-0.0023421523159576
1.1951658,-1.2718114,0.3340992813155231,-0.0022440820606184
1.1145302,-1.2789687,0.3352626825602907,-0.0020015235955841
1.0035243,-1.3048068,0.3341620736758058,-0.0017162158912348
0.89298934,-1.3146895,0.3346870563127621,-0.0014979560800214
