Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
61,3.89036e-06,-8.08145e-07,5.22653e-05,3.87573e-05,6.38619e-05,-8.27893e-07
62,9.35466e-07,3.27193e-06,5.68859e-05,4.38824e-05,5.72133e-05,-7.23688e-06
63,1.71798e-06,-3.13742e-06,5.81635e-05,4.01727e-05,5.87646e-05,-1.35684e-05
64,3.62797e-06,-1.55655e-05,5.35948e-05,3.18993e-05,5.86539e-05,-1.55291e-05
65,4.64571e-06,-2.06523e-05,4.6089e-05,2.83307e-05,4.3863e-05,-1.26529e-05
66,5.67925e-06,-1.11393e-05,4.06869e-05,3.27172e-05,1.13244e-05,-8.69461e-06
67,6.53206e-06,3.10191e-06,4.23372e-05,3.93496e-05,-2.7164e-05,-5.14901e-06
68,7.2588e-06,8.83796e-06,5.02319e-05,4.22175e-05,-4.7773e-05,-6.25396e-07
69,7.72046e-06,3.79434e-06,5.56724e-05,4.05045e-05,-4.23354e-05,4.26177e-06
70,7.99534e-06,-6.09778e-06,5.28112e-05,3.37089e-05,-2.66941e-05,6.4304e-06
71,1.01628e-05,-1.02005e-05,4.34209e-05,2.99361e-05,-1.10662e-05,3.10899e-06
72,1.40823e-05,-3.53532e-06,3.62063e-05,3.62464e-05,8.82336e-06,-5.66644e-06
73,1.51542e-05,5.80138e-06,3.94268e-05,4.47399e-05,2.82393e-05,-1.39446e-05
74,1.23869e-05,7.69451e-06,4.8277e-05,4.54583e-05,4.0799e-05,-1.6354e-05
75,1.26497e-05,2.86036e-06,5.67769e-05,3.99276e-05,5.39824e-05,-1.59208e-05
76,1.79598e-05,-8.46744e-06,6.31918e-05,3.49651e-05,5.91351e-05,-1.87384e-05
77,2.21541e-05,-1.86336e-05,6.21759e-05,3.54186e-05,5.27573e-05,-2.54642e-05
78,2.13947e-05,-1.23699e-05,6.02743e-05,4.25516e-05,4.46449e-05,-2.76814e-05
79,1.95566e-05,-5.12804e-07,6.12422e-05,4.65043e-05,3.68189e-05,-2.25243e-05
80,1.97796e-05,3.82874e-06,6.15628e-05,4.22981e-05,3.10194e-05,-1.70271e-05
81,2.24498e-05,5.12386e-06,5.92923e-05,3.77683e-05,2.22009e-05,-1.58874e-05
82,2.37401e-05,4.27245e-06,5.78008e-05,3.79455e-05,1.04412e-05,-1.99844e-05
83,2.22537e-05,1.36171e-06,5.64257e-05,4.04608e-05,1.6027e-06,-2.81559e-05
84,1.89722e-05,-8.6497e-06,5.36189e-05,3.74281e-05,-7.13332e-06,-3.44325e-05
85,1.57406e-05,-2.28706e-05,5.08488e-05,3.01924e-05,-2.82938e-05,-3.40773e-05
86,1.41402e-05,-2.53967e-05,4.98773e-05,2.68331e-05,-5.00134e-05,-2.77243e-05
87,1.29588e-05,-1.20518e-05,5.38721e-05,3.11033e-05,-5.33117e-05,-1.75879e-05
88,1.26812e-05,6.81245e-07,6.062e-05,3.78463e-05,-3.98047e-05,-8.6575e-06
89,1.40333e-05,3.24429e-06,6.35855e-05,4.1659e-05,-2.1874e-05,-5.06629e-06
90,1.47825e-05,-3.81108e-06,6.19448e-05,4.01749e-05,-5.15886e-06,-6.55339e-06
91,1.51883e-05,-1.56078e-05,6.11272e-05,3.4678e-05,9.01749e-06,-1.08392e-05
92,1.81174e-05,-1.9452e-05,6.14887e-05,3.34356e-05,1.89885e-05,-1.49249e-05
93,2.15951e-05,-7.80726e-06,6.23055e-05,3.95717e-05,2.56783e-05,-1.79931e-05
94,2.039e-05,8.72553e-06,6.25601e-05,4.49552e-05,3.11573e-05,-1.98974e-05
95,1.62598e-05,1.45068e-05,6.12135e-05,4.47038e-05,4.06034e-05,-1.97153e-05
96,1.47346e-05,6.00932e-06,5.88929e-05,4.25274e-05,4.98781e-05,-1.87401e-05
97,1.45546e-05,-1.0868e-05,5.89739e-05,3.82559e-05,4.964e-05,-1.94105e-05
98,1.26172e-05,-2.12131e-05,6.07861e-05,3.45764e-05,3.97032e-05,-2.15604e-05
99,1.09171e-05,-1.48838e-05,6.26751e-05,3.68661e-05,2.94291e-05,-2.20393e-05
100,1.15859e-05,-1.30163e-06,6.66356e-05,4.35026e-05,1.86246e-05,-1.83976e-05
101,1.14884e-05,3.23882e-06,6.94268e-05,4.78729e-05,1.08712e-05,-1.31461e-05
102,1.11504e-05,-3.8495e-06,6.54113e-05,4.70162e-05,1.16499e-05,-1.02432e-05
103,1.13047e-05,-1.65804e-05,5.79454e-05,3.97365e-05,1.40894e-05,-1.09472e-05
104,1.16666e-05,-2.21381e-05,5.22411e-05,3.27239e-05,1.45779e-05,-1.34283e-05
105,1.26147e-05,-1.12592e-05,5.38918e-05,3.584e-05,1.61516e-05,-1.23688e-05
106,1.3975e-05,2.00331e-06,5.76754e-05,4.23784e-05,1.72151e-05,-6.79393e-06
107,1.40166e-05,6.51356e-06,5.52158e-05,4.57858e-05,1.80274e-05,3.25681e-07
108,1.27875e-05,8.47143e-06,5.14892e-05,4.86783e-05,1.65893e-05,3.75093e-06
109,1.1945e-05,7.31866e-06,5.3594e-05,5.13513e-05,1.23386e-05,1.02726e-06
110,1.00527e-05,3.73383e-06,5.80203e-05,5.19851e-05,1.21663e-05,-2.77534e-06
111,7.00803e-06,-4.58806e-06,5.82306e-05,4.74379e-05,1.61363e-05,-3.32884e-06
112,6.01581e-06,-1.79765e-05,5.42708e-05,3.9366e-05,1.74374e-05,-1.35022e-06
113,9.50839e-06,-2.26363e-05,4.97518e-05,3.6964e-05,1.07758e-05,-2.48979e-06
114,1.31458e-05,-1.22427e-05,4.99218e-05,4.35749e-05,-3.8207e-06,-5.33188e-06
115,1.0261e-05,8.90436e-07,5.59979e-05,4.86648e-05,-2.07952e-05,-4.70389e-06
116,4.62636e-06,6.25688e-06,6.10795e-05,4.57839e-05,-3.11124e-05,-2.55811e-06
117,2.41607e-06,5.96734e-07,6.01058e-05,3.87414e-05,-2.92565e-05,-1.93084e-06
118,3.15916e-06,-1.07825e-05,5.62678e-05,3.39047e-05,-1.86363e-05,8.9057e-07
119,4.74355e-06,-1.46258e-05,5.26649e-05,3.71572e-05,-5.59042e-06,9.31907e-06
120,7.17704e-06,-6.10366e-06,5.12655e-05,4.65884e-05,2.17936e-06,1.61223e-05
121,9.349e-06,5.51142e-06,5.30992e-05,5.33154e-05,4.70951e-06,1.37096e-05
122,1.00348e-05,1.03488e-05,5.79498e-05,5.23521e-05,1.48494e-05,4.43331e-06
123,9.58147e-06,6.42388e-06,6.15972e-05,4.50871e-05,3.41423e-05,-3.82981e-06
124,1.01202e-05,-4.5168e-06,6.09129e-05,3.49201e-05,4.55519e-05,-5.39582e-06
125,1.62337e-05,-1.24609e-05,5.76991e-05,2.95532e-05,3.76777e-05,-8.57663e-07
126,2.22434e-05,-8.21636e-06,5.4983e-05,3.31984e-05,2.01569e-05,2.03309e-06
127,1.87869e-05,2.22051e-06,5.69772e-05,3.96668e-05,5.41339e-06,-1.58201e-06
