Right_Elbow_X,Right_Elbow_Y,BICEPS_Affected_upper,BICEPS_Affected_lower
-0.40594202,-0.97933185,0.745516494704057,7.826487213164154e-06
-0.40995264,-0.97390354,0.7464303712084016,3.964930478961408e-06
-0.404728,-0.96921873,0.7446297524703412,4.54891879676244e-07
-0.40097246,-0.9648137,0.7502963776179921,0.0005250221198491
-0.40087292,-0.9636033,0.7458545338317457,0.0006099744380505
-0.40476927,-0.9623834,0.7487299025286008,0.000158475397481
-0.4060873,-0.9607785,0.7480852655911371,-0.0002479619549978
-0.4070422,-0.96053314,0.7511822750880911,-0.0006042158577498
-0.40734774,-0.9592657,0.7460201200365263,-0.0009102863107748
-0.40690145,-0.95840985,0.7447055495528639,-0.0011637152054379
-0.40511757,-0.95694023,0.7459890629482014,-0.0012663633710767
-0.4039998,-0.95745176,0.7451219546113597,-0.0013009446540749
-0.40314147,-0.95845467,0.7463038272642344,-0.0002687631306732
-0.4020251,-0.96138084,0.7472935950216184,-0.0011237705864575
-0.40190384,-0.9631058,0.7433658821429521,-0.0016304909993901
-0.40134865,-0.9652927,0.7445491787297798,-0.0011267016710896
-0.40241137,-0.9658654,0.7473392058429732,-0.0018923256497055
-0.40314925,-0.966748,0.7489713772541317,0.004308584525047
-0.40441078,-0.9661591,0.7431733298474998,-0.0013819950204787
-0.40529677,-0.96684325,0.7451805656103796,-0.0034617173391997
-0.40740466,-0.9667328,0.7465772396513906,-0.0071350402925598
-0.4094948,-0.9664881,0.7494265504593652,-0.0133484267783231
-0.41247743,-0.96665514,0.743965512008336,-0.017093228482603
-0.41354918,-0.9667438,0.7499007064447853,-0.0208972040691687
-0.41365457,-0.9668792,0.7459282057954354,-0.0217428259466712
-0.41410735,-0.9669122,0.7471725859237287,-0.0142128732832763
-0.41396007,-0.9672117,0.7516889370341939,-0.0170511665786526
-0.41345274,-0.96856683,0.7498348884491021,-0.0303055220305794
-0.41281572,-0.968252,0.7566100269474949,-0.0333322648927122
-0.41176572,-0.96745336,0.7529286530859801,-0.0451922220101921
-0.41077513,-0.96720743,0.7645255938620857,-0.0587606604953331
-0.40876272,-0.9676881,0.7651807072702166,-0.0504750225234108
-0.40804845,-0.9685102,0.7633933482666686,-0.0680692880657943
-0.4075312,-0.96939546,0.7648159040182662,-0.0761525022488706
-0.40789595,-0.9704804,0.7718081860822594,-0.1148865265895283
-0.40820783,-0.9708459,0.776848319223467,-0.1279252225653453
-0.4085017,-0.970802,0.7793031551212867,-0.1440778162510508
-0.4086592,-0.9707345,0.7907988327739288,-0.1694381020294697
-0.40820873,-0.96863264,0.7963693218992044,-0.1792317954859292
-0.40875122,-0.96784264,0.8015412858150516,-0.2322195924297083
-0.4098023,-0.9691913,0.8145671348384067,-0.2684752380791417
-0.4120531,-0.9702178,0.8223856105354321,-0.3100025665827088
-0.41210666,-0.9704753,0.8307829117334398,-0.3321985430966737
-0.4141273,-0.9717543,0.8319880997810585,-0.3556271436118162
-0.41514534,-0.97152436,0.8311905160211784,-0.3309529138762878
-0.41777217,-0.9736733,0.8291269500057965,-0.3175129856174774
-0.41931728,-0.9735025,0.8307604038868542,-0.3285989856358758
-0.41924196,-0.9758786,0.8222227185621819,-0.3395494267167933
-0.41565877,-0.9820608,0.8368198085045324,-0.3305993560456655
-0.41840103,-0.9832623,0.8321296231168566,-0.335634453837518
-0.4195123,-0.9839936,0.8248015652337088,-0.3337225300513565
-0.42063138,-0.98259896,0.8249248818089447,-0.3279898784177251
-0.41874233,-0.9765824,0.8249417370382233,-0.3066017408642236
-0.41998547,-0.9740714,0.8284346359923482,-0.3269341990376649
