Left_Wrist_X,Left_Wrist_Y,FOREARM_NonAffected_upper,FOREARM_NonAffected_lower
1.27271,0.5069723,0.689636262598118,-0.0508884503541776
1.2565881,0.4982616,0.6734414645534177,-0.0416878940550195
1.265092,0.49175838,0.6609881626465224,-0.03405714076011
1.28684,0.48689103,0.6518202856472011,-0.0278659807413975
1.2887322,0.48606735,0.6457104768729275,-0.0231429677294852
1.2908669,0.48598635,0.6421742189359251,-0.0197448528022272
1.2976357,0.48684615,0.6408199438942898,-0.0175762386443012
1.3059896,0.48599535,0.6412807664591073,-0.0165938478102249
1.3092141,0.48647642,0.6431692164128492,-0.0166969903739724
1.319692,0.485925,0.6463243729305925,-0.0178135996600363
1.3398727,0.48563775,0.6493210628006205,-0.0259811239192277
1.356652,0.48527446,0.6492843933831879,-0.0275000874887807
1.3750522,0.48292047,0.6560089630112208,-0.0301258609433335
1.3885502,0.47780135,0.6526797097897958,-0.0319487362107159
1.3876971,0.47780216,0.6597777133310648,-0.0322559362436995
1.3860521,0.48021248,0.660368661215107,-0.0314185955660875
1.3929152,0.48059842,0.6610807773921743,-0.0344565360270775
1.3924202,0.4810928,0.662026135348608,-0.0328369352266614
1.3939481,0.48092106,0.6584234740611862,-0.0353253995565483
1.3939801,0.47909454,0.663531805570279,-0.0402622747442252
1.3992902,0.47797525,0.6598074598924925,-0.040461138752923
1.4016008,0.478303,0.6614890102844739,-0.0391201402264608
1.401608,0.47872108,0.6551418208184382,-0.0474005339063854
1.4013695,0.48004773,0.6639146696332826,-0.0427262613865392
1.4024926,0.48029315,0.6568284030757016,-0.0371807604016891
1.4042355,0.48047152,0.6543525881640756,-0.0375843208959174
1.4067066,0.48089558,0.6531742918470406,-0.0431974364819744
1.4080666,0.48085636,0.6544478585918637,-0.045409721382031
1.4171906,0.47984973,0.6556081789207426,-0.0424695746164594
1.4181095,0.48031756,0.6597413501900458,-0.044470348659778
1.4197153,0.48068318,0.654075247333521,-0.0402155135408154
1.4360557,0.47724363,0.6558883537260868,-0.0392104280232538
1.4405861,0.4732283,0.6485117618488432,-0.0387843833215218
1.4431317,0.47115898,0.6512869336248653,-0.0346638946203637
1.4455811,0.4709315,0.6492888952679546,-0.0351094480591731
1.4450387,0.46574336,0.652702393096027,-0.038974721317293
1.4439758,0.45785803,0.6552661650966657,-0.0344175015273997
1.4434154,0.45346308,0.6475347778175075,-0.0344452745296961
1.4436985,0.44948977,0.6515292381483099,-0.0395574314687385
1.4437281,0.44800255,0.6466753589210599,-0.0380366443030699
1.4414213,0.4480234,0.6504223894281511,-0.0363012504951054
1.431689,0.4479605,0.6438838517098806,-0.0371795718098022
1.4250282,0.45151293,0.6503471044110009,-0.0337800160125899
1.4160211,0.45269927,0.6462394604533646,-0.0372923275899796
1.411503,0.45520476,0.6438711912563513,-0.0171138527030308
1.4093814,0.4576598,0.6529446371925326,-0.0417014488877817
1.4060374,0.4587822,0.6571237806352033,-0.0641699188702006
1.4049618,0.46023607,0.6582030911526283,-0.0760031434185921
1.4024106,0.46203002,0.6668712292342049,-0.086867252084065
1.4055399,0.461848,0.6666702160219716,-0.0940112181120112
1.4073291,0.46296647,0.6705671459132164,-0.0990012315428852
1.408852,0.46415043,0.6729042320696612,-0.1027482846333905
1.422099,0.4661212,0.6771034400455366,-0.106314719706472
1.4259797,0.46622136,0.6705847497258867,-0.103076334028978
1.4237626,0.46517238,0.6740860295225563,-0.0959905165490405
1.4134427,0.46813068,0.6671286287045914,-0.0943148625851235
1.4086354,0.47049442,0.6663357149322849,-0.0847718308131447
1.3982025,0.4702045,0.6639138085921228,-0.0715418920184521
1.3750587,0.46481973,0.6550604249895408,-0.0561890044893099
1.3623034,0.4647124,0.6544754903456472,-0.0388856778966239
1.3557298,0.46116534,0.6462812924980621,-0.0256948281004673
1.3463835,0.46075153,0.6463778590953985,-0.0198869690513028
1.3322316,0.45995083,0.6602257584139398,-0.0451488553982744
1.3081894,0.4544118,0.6528430852716617,-0.0456359987792659
1.2861941,0.4542195,0.6571072231435963,-0.0422721427736781
1.2504882,0.45377252,0.6548337526025154,-0.0397042786083037
1.1964597,0.46583095,0.6548913397032536,-0.0387491150524127
1.1608515,0.48002255,0.6555114738003578,-0.0350005466143012
1.1261265,0.48527434,0.6526904105919937,-0.032881299478405
1.055346,0.4913842,0.6504587780298227,-0.0370801814049881
0.99302137,0.5021224,0.6475504232237882,-0.0323832898368314
0.89156973,0.50508904,0.6471750046240045,-0.0313171312601073
0.76994205,0.52443314,0.6507416926959915,-0.0269646377509587
0.6876755,0.5188429,0.6523827261144579,-0.0291886882638174
0.57562435,0.5030935,0.6493557728112592,-0.0237559169115657
0.5232866,0.49207923,0.6499681324826783,-0.0323074460509205
0.43749228,0.43870258,0.6533568087203213,-0.0364154207739651
0.4038117,0.39411658,0.6493982097542368,-0.0355269113430195
0.33937922,0.36125046,0.6593307257964732,-0.0406187914487549
0.3582799,0.31509116,0.6581474206090047,-0.0416854144892172
0.38256246,0.30959344,0.6540156224209842,-0.0397121982228064
0.42014694,0.31735155,0.6520062075730904,-0.0418960517932715
0.44994807,0.27393007,0.6530129125228835,-0.0368230635156266
0.47958675,0.2766757,0.6494204168577639,-0.0386695976746799
0.49537,0.25837803,0.6526191578107845,-0.0387425131253627
0.5022098,0.24830194,0.6493641701626981,-0.0385572157377571
0.5241315,0.24162897,0.6516205310761118,-0.0396248316244587
0.57511157,0.23015349,0.6526828587279796,-0.0365217468185736
0.5781219,0.2474768,0.6520170142644751,-0.0342042031562003
0.56111985,0.24762197,0.6529046277289295,-0.0297943468384008
0.58988434,0.24085115,0.649159264786417,-0.0356368534377
0.67373633,0.22435021,0.6485837921860317,-0.037436559388161
0.7048966,0.21885541,0.6539853478196429,-0.0383219766000558
0.69550633,0.21471384,0.6541784388537619,-0.0387946680565458
0.7729589,0.2060608,0.6575373839685581,-0.0371584427038083
0.7716552,0.20806852,0.6550835404811405,-0.03511749059391
0.8146598,0.19239871,0.6468254005639181,-0.0326419478229052
0.82055485,0.18694317,0.6477300401648763,-0.0314832112068524
0.8066189,0.1864818,0.6493489894741501,-0.027396089586851
0.8066047,0.18716457,0.6472125866793906,-0.0267206119011512
0.8112528,0.18676811,0.6454211495440715,-0.0299531661186506
0.7960147,0.17858762,0.6486069088159259,-0.0301963868421343
0.78982925,0.18209317,0.6430673395619645,-0.029625913510812
0.7808547,0.17832465,0.6481932889019685,-0.0284661442863412
0.77833897,0.17591521,0.6459481461760146,-0.0185675731701419
0.77477163,0.17901058,0.6444902811870606,-0.0182262625477659
0.7614344,0.18719648,0.6431392973358777,-0.0215256788994019
0.7472333,0.19325665,0.642810116752107,-0.0268523272043529
0.734202,0.18933733,0.6438498479745809,-0.0275797463913848
0.7298198,0.18867911,0.6453815450039327,-0.026827299723743
0.68228424,0.19785242,0.6441775353661198,-0.029982513433089
0.6958676,0.19370888,0.64468565632808,-0.0293903116762388
0.6968556,0.18833062,0.6438198252939301,-0.0290894998219234
0.71201,0.18980138,0.645693566572675,-0.0341846060037548
0.71418214,0.1873065,0.6471548685480977,-0.0353427539481827
0.71991414,0.18621811,0.6457854492418317,-0.0348390089591908
0.73350763,0.18482818,0.6453692445043993,-0.0364610442705479
0.73871315,0.18395099,0.6474629172649764,-0.03302281589371
0.7428877,0.17935874,0.6466690959155298,-0.03810559564576
0.7431852,0.17963505,0.6447321728859642,-0.0383653614582044
0.7407872,0.18088971,0.6483562604860085,-0.039260134071601
0.7393841,0.18241626,0.6461568576257022,-0.0368409809418108
0.74168533,0.18255746,0.6494955262897821,-0.0445399456862325
0.7352887,0.18347757,0.6469820427946146,-0.0470579507248227
0.7335471,0.1828278,0.6536062244530448,-0.0483730046697112
0.7326619,0.17975974,0.651947854033683,-0.0474095202690303
0.73512596,0.18039548,0.6571370063274787,-0.0479393574522222
0.72555643,0.17741545,0.6572686912810043,-0.0470766510865603
0.7212225,0.17598301,0.656395182564461,-0.0465920075389642
0.71597016,0.17698509,0.6573427309654457,-0.0463730389089103
0.71532834,0.1766617,0.6530126067960405,-0.0463926981049944
0.71512055,0.17645952,0.6570793647563294,-0.0494179862046542
0.7262889,0.17722505,0.6609341064113049,-0.0472117911553689
0.7311567,0.17743684,0.6542201272487846,-0.0454048172253202
0.7325457,0.17716555,0.6509460202122354,-0.0434487859783897
0.7369291,0.17698275,0.6561966891311384,-0.0433664388371868
0.74462235,0.17740056,0.6542727184899231,-0.0424097002903191
0.74892604,0.17846046,0.6553565954055474,-0.0437327990579471
0.75164014,0.18058035,0.6590719637661223,-0.0404205991118578
0.75497854,0.18206209,0.652014775668123,-0.0438215378255589
0.7579045,0.18430668,0.6536419044864874,-0.0437806005864068
0.75863916,0.18426776,0.6569180780346152,-0.0442092095735692
0.7595437,0.18417919,0.6524777033438979,-0.0442945295977829
0.76100755,0.18323053,0.6576785860862252,-0.0468953972656326
0.7645532,0.18432616,0.6533254945145082,-0.0495457103382623
0.7666008,0.18460318,0.6602486126278975,-0.052918150629004
0.7662186,0.18439768,0.6613833893903734,-0.0530445204205552
0.7667992,0.1843666,0.6571217679459828,-0.0514916454519315
0.7666521,0.1848081,0.6633321107801127,-0.0523489769946621
0.7653923,0.18548653,0.6606410821589297,-0.0549095061914388
0.76538366,0.18649428,0.6530309607724127,-0.0545709305316089
0.76386935,0.18756557,0.6628081531729504,-0.0447391448571323
0.7619034,0.18843567,0.6619076703974218,-0.0369428524657666
0.76454955,0.19099708,0.6576517012112774,-0.0421542661133239
0.76453704,0.19098762,0.6571313416477232,-0.0451869739447676
0.7648699,0.19105385,0.6548348400462816,-0.0474766537896541
0.76381457,0.19147196,0.6562617478471053,-0.0482569493972448
0.75567627,0.1930095,0.6632122230445554,-0.051606685131023
0.7543239,0.19488879,0.6659447272576121,-0.0557793276076762
0.7564386,0.19705774,0.665697517044175,-0.0509472103113188
0.7552959,0.19752687,0.6654787802416572,-0.0564979511501615
0.7568224,0.19750324,0.666692316000375,-0.0572379887547025
0.759311,0.1976616,0.668497723540869,-0.0594516393490827
0.76242965,0.19911595,0.6663022748682097,-0.0558071016857368
0.7624912,0.20067786,0.6638482042042904,-0.0578483839724359
0.7630883,0.2020221,0.6663193860213689,-0.0573434489194191
0.762761,0.20332865,0.6629193543203628,-0.0582129885975092
0.762912,0.20625588,0.6639096857571058,-0.056522412917547
0.762063,0.2073357,0.6678848700050893,-0.0500280391320828
0.75601643,0.20787428,0.6658093748040919,-0.0523800961022183
0.74451566,0.20896783,0.6654690877798777,-0.0622252012385942
0.74304146,0.20945112,0.6638678957094221,-0.0655615669046186
0.7475132,0.21358255,0.6662721142094347,-0.0635008232783212
0.75314903,0.21852879,0.6706502713658735,-0.0626745878730453
0.7498527,0.22105066,0.6675616600855919,-0.0660226848168376
0.74922657,0.22367199,0.6626660620756938,-0.0639879620093969
0.74608475,0.22384128,0.663974778762907,-0.0550745010156749
0.7370152,0.223391,0.6630238070293603,-0.0533413489678689
0.730207,0.22162384,0.6631396741206359,-0.056275497271419
0.72492063,0.21931154,0.6634369339948567,-0.0564985651879266
0.71915126,0.21654187,0.66313859358027,-0.0569796083945386
0.7204136,0.21177283,0.66371960424253,-0.0595268587687148
0.71467865,0.2079901,0.6715801095166578,-0.0558938792914652
0.7319965,0.20738615,0.6657123604186505,-0.0578335491102646
0.7325396,0.20513937,0.6665422178985793,-0.0586719715129197
0.72742605,0.20206147,0.661361727014019,-0.0602082148577439
0.72798395,0.20007059,0.6716934638140826,-0.0630903708208653
0.73091763,0.20059489,0.6655053104684622,-0.0698951379434622
0.733751,0.20070696,0.6611809987936362,-0.0689110977454454
0.73582953,0.20074713,0.6631936023483224,-0.0647664219596983
0.74166995,0.20055616,0.6614852086575617,-0.058841560667287
0.74452525,0.2004929,0.6623542901519043,-0.0635412583442473
0.7453996,0.20003305,0.6607393425532032,-0.0563252448284328
0.7480304,0.19995038,0.6603523740783577,-0.0569049989662872
0.7503203,0.20024088,0.6609778403143591,-0.0633839889639664
0.7520123,0.20159434,0.6613292304776265,-0.0610391524530899
0.75107056,0.20197523,0.6635872392957912,-0.0586137902038678
0.74746305,0.20266703,0.6580219924478511,-0.0569705327123097
0.74089926,0.20270528,0.6659744173278447,-0.0583258978078276
0.7318236,0.20300579,0.6666102169442104,-0.0533115249128421
0.7252843,0.20403592,0.665611018306514,-0.0543856388120768
0.71776664,0.20508881,0.6727300041353799,-0.0638543803386051
0.7123324,0.20234409,0.6693058441286017,-0.0726095944691142
0.7040226,0.20148338,0.6760405965465723,-0.0752338318983705
0.6946047,0.20255077,0.6646189791390563,-0.0722435490779148
0.69006616,0.2034723,0.6650108334396377,-0.0634382941193839
0.69177717,0.20376188,0.6729866512929691,-0.0692539989288175
0.69821286,0.2036881,0.6660203085716867,-0.0709688599343021
0.7237244,0.2005242,0.6709470963246901,-0.0805198335103849
0.7313291,0.19927375,0.6711820637214605,-0.0730765953047241
0.7354266,0.1982828,0.6706292339436022,-0.0779847750312961
0.73538744,0.19646686,0.6727050999401539,-0.0725582910142223
0.73535967,0.19216274,0.6676324132697544,-0.0682647118700944
0.7383483,0.18789898,0.6680945859455506,-0.0664162279056013
0.73933035,0.18508486,0.6659730882405615,-0.0609404560582167
0.74183255,0.18415408,0.668459537518481,-0.0644017830524465
0.7502707,0.18100254,0.6699282771306027,-0.0619949440564362
0.7569191,0.18000488,0.6633446091260436,-0.0596528152386963
0.76404876,0.17978309,0.6634236248609161,-0.0594841350992004
0.76966363,0.17986618,0.6591600213421321,-0.0570907994785164
0.77113324,0.18037696,0.6634975229661135,-0.0400090293256979
0.77508634,0.18202516,0.6581811259036782,-0.0452315024438838
0.7793811,0.18392499,0.6638094648642703,-0.0553860267330735
