Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
62,-1.75927e-05,4.94926e-05,3.18226e-05,5.45278e-05,3.72049e-05,9.95257e-06
63,-8.61729e-06,6.25375e-05,3.38092e-05,5.63464e-05,3.48772e-05,1.14778e-05
64,3.81865e-06,7.33367e-05,3.42164e-05,6.04028e-05,3.56874e-05,1.14142e-05
65,7.9065e-06,7.65902e-05,3.04908e-05,6.24557e-05,3.82976e-05,9.19431e-06
66,2.45679e-06,6.92909e-05,2.63466e-05,5.84021e-05,4.108e-05,5.79101e-06
67,-8.97956e-06,5.16322e-05,2.49727e-05,5.1596e-05,4.3676e-05,1.67019e-06
68,-1.57969e-05,3.22535e-05,2.61359e-05,4.79653e-05,4.32219e-05,-2.04491e-06
69,-9.23797e-06,2.32038e-05,2.93417e-05,4.78012e-05,3.9255e-05,-3.9593e-06
70,2.60607e-06,2.48807e-05,3.3084e-05,4.92657e-05,3.67129e-05,-3.39846e-06
71,6.06749e-06,2.57042e-05,3.50502e-05,5.116e-05,3.74229e-05,1.28069e-06
72,-1.6525e-06,1.70692e-05,3.45642e-05,5.169e-05,3.65919e-05,7.50353e-06
73,-1.77899e-05,3.42833e-06,3.33208e-05,5.16765e-05,3.21633e-05,8.82412e-06
74,-2.70661e-05,-8.56108e-06,3.48581e-05,5.1333e-05,2.56186e-05,8.23646e-06
75,-1.31826e-05,-1.5436e-05,3.94097e-05,5.00232e-05,1.88384e-05,1.21832e-05
76,4.89142e-06,-1.44389e-05,4.15062e-05,4.9504e-05,1.45e-05,1.55e-05
77,8.75542e-06,-7.39416e-06,4.0045e-05,5.10448e-05,1.34404e-05,1.37242e-05
78,9.01632e-06,-3.96653e-08,4.06185e-05,5.5224e-05,1.68e-05,1.24907e-05
79,1.13469e-05,5.03626e-06,4.39789e-05,6.05239e-05,2.24041e-05,1.32821e-05
80,1.35949e-05,1.10341e-05,4.41892e-05,6.11469e-05,2.60936e-05,1.4131e-05
81,7.97518e-06,1.69848e-05,3.78427e-05,5.55266e-05,2.95634e-05,1.37743e-05
82,-8.04783e-06,1.78294e-05,2.8977e-05,5.03034e-05,3.29526e-05,1.29288e-05
83,-1.71227e-05,1.46402e-05,2.46348e-05,4.84494e-05,3.18213e-05,1.39233e-05
84,-9.28996e-06,1.10131e-05,2.49457e-05,4.78303e-05,2.58806e-05,1.68046e-05
85,1.65936e-06,9.01353e-06,2.4833e-05,4.68339e-05,2.07313e-05,1.89973e-05
86,4.12002e-06,9.62549e-06,2.42631e-05,4.47172e-05,1.95723e-05,1.74988e-05
87,-2.95556e-06,1.08608e-05,2.46582e-05,4.28385e-05,2.06694e-05,1.12549e-05
88,-1.59303e-05,8.65003e-06,2.47613e-05,4.47665e-05,2.00732e-05,3.03279e-06
89,-2.26263e-05,4.64146e-06,2.44784e-05,5.03668e-05,1.58246e-05,4.93823e-07
90,-1.38284e-05,2.66664e-06,2.48211e-05,5.34038e-05,1.21939e-05,6.64731e-06
91,1.68882e-06,1.60562e-06,2.52499e-05,5.09532e-05,1.48851e-05,1.46817e-05
92,9.0938e-06,1.37373e-06,2.55879e-05,4.66814e-05,2.22417e-05,1.66512e-05
93,4.20392e-06,3.00802e-06,2.56046e-05,4.48411e-05,2.5652e-05,1.22499e-05
94,-8.65532e-06,4.16469e-06,2.432e-05,4.61836e-05,2.1253e-05,6.33055e-06
95,-1.58081e-05,4.00738e-06,2.51675e-05,4.84827e-05,1.44972e-05,3.66315e-06
96,-5.13295e-06,3.39287e-06,3.1543e-05,4.86236e-05,1.18352e-05,5.34033e-06
97,1.26185e-05,1.29044e-07,3.8798e-05,4.61518e-05,1.53383e-05,7.17429e-06
98,1.82737e-05,-3.01337e-06,4.0901e-05,4.39744e-05,2.08161e-05,5.74891e-06
99,1.01372e-05,-6.86771e-08,3.80618e-05,4.30597e-05,2.1917e-05,4.19346e-06
100,-7.41245e-06,4.08946e-06,3.38204e-05,4.25994e-05,1.98838e-05,2.78573e-06
101,-2.15773e-05,1.65679e-06,3.13534e-05,4.4595e-05,1.68384e-05,2.20018e-06
