patient,joint,mae_x,mae_y,rmse_x,rmse_y,corr_x,corr_y
TOLFB01,Left_Elbow,0.12604266666666666,0.04404383333333333,0.14471266666666668,0.06042816666666667,0.7450035,0.8884253333333333
TOLFB01,Left_Shoulder,0.043292833333333336,0.011012666666666665,0.051758500000000006,0.013309333333333333,0.5565101666666666,0.149435
TOLFB01,Left_Wrist,0.16918533333333333,0.07545866666666666,0.22647616666666667,0.10754199999999998,0.8109514999999999,0.903673
TOLFB01,Right_Elbow,0.105991,0.06642933333333333,0.13258366666666668,0.08333666666666667,0.7873978333333334,0.8839976666666667
TOLFB01,Right_Shoulder,0.037442666666666666,0.011142333333333332,0.044476666666666664,0.013421999999999998,0.44793733333333335,0.15615566666666666
TOLFB01,Right_Wrist,0.23822449999999998,0.077418,0.2934966666666667,0.10935933333333332,0.8256896666666668,0.9076188333333333
TOLFB02,Left_Elbow,0.11036883333333335,0.0522185,0.142203,0.065473,0.6267266666666667,0.790203
TOLFB02,Left_Shoulder,0.04151716666666667,0.007274333333333334,0.04681133333333334,0.0090715,0.6383316666666666,0.18151416666666667
TOLFB02,Left_Wrist,0.18580633333333332,0.08782583333333333,0.22852150000000002,0.111001,0.7754884999999999,0.8612665
TOLFB02,Right_Elbow,0.12292950000000001,0.070321,0.1593011666666667,0.08501883333333334,0.6090028333333334,0.8036316666666666
TOLFB02,Right_Shoulder,0.0237435,0.007436333333333333,0.027767,0.009213833333333333,0.5340263333333334,0.18081083333333334
TOLFB02,Right_Wrist,0.220853,0.08259766666666667,0.2677403333333333,0.11076416666666666,0.7740953333333334,0.8485733333333334
TOLFB03,Left_Elbow,0.15934016666666664,0.06239833333333333,0.21621716666666668,0.07975316666666667,0.6800125,0.7458053333333333
TOLFB03,Left_Shoulder,0.05698966666666667,0.017164833333333334,0.1115505,0.03667583333333333,0.42160933333333334,0.15090216666666667
TOLFB03,Left_Wrist,0.24414916666666667,0.10979416666666668,0.3160733333333333,0.14591333333333334,0.6647345,0.7941855000000001
TOLFB03,Right_Elbow,0.16517383333333333,0.07193833333333334,0.2305855,0.08904983333333333,0.7095028333333334,0.8363951666666667
TOLFB03,Right_Shoulder,0.061596333333333336,0.02038833333333333,0.09089233333333334,0.042132,0.309514,0.20794333333333334
TOLFB03,Right_Wrist,0.2716596666666667,0.10855750000000002,0.35654583333333334,0.14807116666666667,0.6859595,0.8117756666666667
TOLFB04,Left_Elbow,0.12951866666666667,0.062308166666666664,0.1596815,0.08305416666666667,0.7277466666666667,0.8896213333333334
TOLFB04,Left_Shoulder,0.046746666666666666,0.007365,0.05238416666666667,0.009199666666666667,0.5663213333333333,0.14480083333333332
TOLFB04,Left_Wrist,0.19847516666666665,0.07400266666666667,0.233098,0.10465916666666668,0.7775823333333333,0.9449960000000001
TOLFB04,Right_Elbow,0.13371766666666668,0.066106,0.16555433333333333,0.07935983333333334,0.7517003333333333,0.8939491666666667
TOLFB04,Right_Shoulder,0.035314333333333336,0.007756666666666666,0.04022733333333333,0.009552666666666666,0.5164665,0.134774
TOLFB04,Right_Wrist,0.24443499999999999,0.084933,0.28903283333333335,0.11082750000000001,0.7390791666666666,0.9412405
TOLFB05,Left_Elbow,0.11974533333333333,0.058542333333333335,0.15338533333333335,0.07101416666666667,0.7056979999999999,0.8247775
TOLFB05,Left_Shoulder,0.026716,0.013001666666666667,0.033659,0.014820333333333333,0.6708586666666667,0.0034638333333333327
TOLFB05,Left_Wrist,0.1841575,0.099652,0.23063316666666667,0.1239695,0.7395995000000001,0.8840343333333333
TOLFB05,Right_Elbow,0.11493766666666666,0.05382033333333333,0.14522916666666666,0.07006166666666667,0.6605329999999999,0.8456095
TOLFB05,Right_Shoulder,0.04397383333333333,0.012095333333333333,0.04898333333333333,0.014011999999999998,0.4563361666666667,0.03265133333333333
TOLFB05,Right_Wrist,0.22635933333333333,0.07552583333333333,0.269722,0.108498,0.759861,0.8894491666666666
TOLFB06,Left_Elbow,0.09047716666666666,0.07063000000000001,0.11315083333333333,0.09283916666666665,0.789931,0.8325816666666667
TOLFB06,Left_Shoulder,0.029606833333333332,0.017978166666666667,0.034775,0.020892166666666667,0.6053348333333334,0.08108933333333332
TOLFB06,Left_Wrist,0.15860766666666667,0.10345149999999999,0.2108645,0.13283599999999998,0.8028501666666666,0.9404493333333334
TOLFB06,Right_Elbow,0.0937545,0.06805850000000001,0.11453,0.09217816666666667,0.820138,0.8313223333333334
TOLFB06,Right_Shoulder,0.025110666666666667,0.01766783333333333,0.02964733333333333,0.020590666666666663,0.5857773333333334,0.0794715
TOLFB06,Right_Wrist,0.187411,0.0855065,0.2490285,0.11991716666666667,0.7337733333333333,0.9423643333333334
TOLFB07,Left_Elbow,0.12226266666666667,0.04449033333333333,0.1459795,0.06428516666666666,0.6953046666666666,0.8681
TOLFB07,Left_Shoulder,0.054126833333333325,0.011072166666666666,0.059885333333333325,0.013584666666666667,0.571584,-0.10879349999999999
TOLFB07,Left_Wrist,0.1671935,0.08920083333333333,0.21361233333333338,0.1180055,0.8029799999999999,0.9380681666666666
TOLFB07,Right_Elbow,0.10091933333333335,0.0650185,0.12618366666666667,0.08090283333333333,0.7067483333333332,0.816628
TOLFB07,Right_Shoulder,0.056758,0.011030333333333335,0.06311016666666668,0.013624833333333334,0.5040431666666667,-0.10717216666666667
TOLFB07,Right_Wrist,0.22000850000000002,0.07835183333333333,0.2652791666666667,0.10670283333333334,0.71307,0.9303926666666666
TOLFB08,Left_Elbow,0.14044533333333334,0.08729883333333334,0.20069133333333333,0.1238955,0.4876048333333333,0.7574716666666667
TOLFB08,Left_Shoulder,0.064394,0.014424999999999999,0.09656616666666668,0.016711666666666666,0.41134166666666666,0.1100395
TOLFB08,Left_Wrist,0.19258916666666667,0.11124966666666668,0.2600343333333333,0.19365233333333332,0.644745,0.8011921666666666
TOLFB08,Right_Elbow,0.13195700000000002,0.09141250000000001,0.18730116666666666,0.13002083333333334,0.48543699999999995,0.7572225
TOLFB08,Right_Shoulder,0.07847866666666665,0.018026666666666667,0.1071165,0.020272666666666665,0.36936450000000004,0.092794
TOLFB08,Right_Wrist,0.22519133333333333,0.1315235,0.2874528333333333,0.215832,0.5932188333333334,0.7942810000000001
TOLFB09,Left_Elbow,0.24520366666666668,0.155892,0.2841241666666667,0.17774783333333333,0.34308316666666666,0.5271393333333333
TOLFB09,Left_Shoulder,0.06415866666666666,0.011921166666666668,0.07154166666666667,0.013866833333333333,0.15624783333333334,-0.22376166666666666
TOLFB09,Left_Wrist,0.4182876666666666,0.24498216666666664,0.48098616666666666,0.30105716666666665,0.39815616666666664,0.5994346666666667
TOLFB09,Right_Elbow,0.2314328333333333,0.1577,0.26956633333333335,0.17728966666666668,0.3523321666666667,0.4221668333333333
TOLFB09,Right_Shoulder,0.06359466666666667,0.012751333333333332,0.0697625,0.014765333333333333,0.37564233333333336,-0.2849645
TOLFB09,Right_Wrist,0.4364035,0.2336855,0.498125,0.30114616666666666,0.4338505,0.6019498333333334
TOLFB10,Left_Elbow,0.14553666666666668,0.07513916666666666,0.18243983333333333,0.10744516666666666,0.6425306666666667,0.8306558333333333
TOLFB10,Left_Shoulder,0.034132666666666665,0.0168225,0.05182583333333333,0.019835000000000002,0.35415066666666667,-0.06614133333333333
