Left_Shoulder_X,Left_Shoulder_Y,DELTOID_NonAffected_upper,DELTOID_NonAffected_lower
0.47272885,-0.50001353,0.2132509365870277,-0.0028558792501823
0.47706488,-0.50188625,0.2126387982992894,-0.0021285400786692
0.4804545,-0.5030726,0.2120692868273746,-0.0015497156688017
0.48383734,-0.50317127,0.2115526013729088,-0.0011143607951822
0.48547328,-0.50373685,0.2110915464540962,-0.0008080100233435
0.48661184,-0.504002,0.2106889265891408,-0.0006161979188187
0.48707107,-0.50406766,0.2103475462962468,-0.0005244590471408
0.48739648,-0.50409174,0.2100702100936184,-0.0005183279738427
0.4880679,-0.50412935,0.2098597224994597,-0.0005833392644573
0.48944756,-0.50403947,0.2097188880319747,-0.0007050274845178
0.49050036,-0.5040009,0.2096505112093677,-0.000868927199557
0.49126682,-0.50401294,0.2096573965498427,-0.0010605729751079
0.49224606,-0.50403666,0.2099224771357014,-0.0011417402707213
0.49272558,-0.5040289,0.2100273756647043,-0.0012346994379296
0.49332482,-0.5038253,0.2115247289258332,-0.0011679145628823
0.4938244,-0.50367963,0.2115941550933564,-0.0015528283849843
0.49452108,-0.50346917,0.2124700682191665,-0.0014602858544168
0.49543363,-0.50298476,0.2117830110669264,-0.0016305052996127
0.49654096,-0.5029318,0.2126193722537205,-0.0017463894452522
0.4977766,-0.5032426,0.2123202226117705,-0.001775987134835
0.49984404,-0.5034106,0.2124038632655313,-0.0015202566199635
0.50062865,-0.50353813,0.2135534437044587,-0.0015152386877748
0.5009882,-0.50378394,0.2104103145685026,-0.0016848560905005
0.50136936,-0.50347954,0.212042043104061,-0.0016361791995568
0.5020447,-0.5028615,0.2113910096223281,-0.0015851202074881
0.5024091,-0.5024539,0.2111165384789952,-0.0014413806520935
0.5023605,-0.5022687,0.2099759888568972,-0.0013160855018882
0.5024743,-0.5020035,0.2082553846725966,-0.0008175873109866
0.50253856,-0.50182086,0.2102608234370917,-0.000724573206164
0.50250024,-0.501698,0.2080645003342957,-0.0009297174523864
0.50253385,-0.5016382,0.2096525432009829,-0.0007863839099331
0.50257903,-0.5014684,0.2081854367535734,-0.0012992223210095
0.50260377,-0.50122446,0.2103165491932495,-0.0015002917242053
0.50309706,-0.5010596,0.2097482519305137,-0.001598286929343
0.5029922,-0.50093514,0.211087087771192,-0.0013468356603621
0.50288373,-0.5010421,0.2103971091215612,-0.001489523783394
0.5026499,-0.5008736,0.2101787756680126,-0.0016152497764633
0.5036668,-0.5003052,0.2088820757200566,-0.0017544168132865
0.5040994,-0.4995931,0.2095109783245145,-0.00124591199384
0.5043214,-0.4988426,0.2097944824340341,-0.0014109335122678
0.50378054,-0.49836728,0.2097266911655752,-0.00176646547541
0.50324255,-0.4978811,0.2082625788764061,-0.0019264354209969
0.50265115,-0.4977865,0.2094930805359958,-0.0021371140111654
0.5005352,-0.49782708,0.2108485213377107,-0.0026046922625764
0.49821642,-0.49783102,0.2111147780672457,-0.0027310735350883
0.49550977,-0.49777004,0.2106095016062701,-0.0027501500523649
0.4943648,-0.49751127,0.2121841614071352,-0.0026741992786991
0.49475196,-0.49717468,0.2098640665225839,-0.0025366771428099
0.4965308,-0.49729955,0.2098379442929013,-0.0023776084111294
0.49715197,-0.4970258,0.2125714605006035,-0.0019183099323488
0.49717426,-0.49697438,0.2111816474842349,-0.0021755173124266
0.49792242,-0.49690026,0.2111512581555585,-0.0019291046609775
0.4985184,-0.49695402,0.2112456834054021,-0.0016486331980689
0.49905854,-0.4965349,0.2132625883711519,-0.0016880838691624
0.49938968,-0.49637845,0.2129500654949592,-0.0004108739949865
0.4983015,-0.49720085,0.208962654670662,-0.0007465399255691
0.49655023,-0.4978915,0.2147819248156436,-0.0008650626463757
0.4930426,-0.49892896,0.2121114237367877,-0.0006828645978459
0.48923305,-0.5005896,0.2112319961652508,-0.0008857401626628
0.48474213,-0.5004376,0.2120353008107783,-0.0012473276689686
0.4835217,-0.49875852,0.2143531434318318,-0.0017885105915665
0.48036796,-0.4984427,0.2107733104090888,-0.0031212856724909
0.481013,-0.4984329,0.2133948150783846,-0.0041000105638156
0.4844407,-0.49844173,0.214258290581965,-0.0046610828164847
0.48934412,-0.4986612,0.217189233393471,-0.005252759589665
0.49831584,-0.4982281,0.2162799640944732,-0.0049401993940371
0.4970189,-0.49445826,0.211839463116931,-0.0054536123969308
0.49932814,-0.49389604,0.2107377641758338,-0.0056050140533827
0.50580335,-0.49178925,0.2145038505423578,-0.0055530156512026
0.50431234,-0.4896295,0.2132063499145313,-0.0055896959462132
0.50244594,-0.48999417,0.2134105290532035,-0.0047049744420789
0.49673918,-0.49175656,0.214950145681861,-0.0041963035774278
0.49148062,-0.49260232,0.2106198028782084,-0.0047879957118784
0.48734534,-0.49281895,0.2141285468347967,-0.0045632708485993
0.4780839,-0.49609002,0.2107823213697837,-0.0045935829170204
0.46819207,-0.49557182,0.2114616180623429,-0.0040566459638456
0.44943416,-0.49574962,0.2105282563563478,-0.0037618903417682
0.44607794,-0.49492118,0.2109402289479085,-0.004047654968316
0.43868086,-0.4952647,0.2133155368842776,-0.0041742689741483
0.4278758,-0.49467245,0.2093784484502725,-0.0047275606502987
0.4241128,-0.4959338,0.2085178253429842,-0.004113528281329
0.4284773,-0.49546385,0.2104988567268552,-0.0057294822779099
0.43697837,-0.4922969,0.2113135730685021,-0.0066371162994689
0.44365498,-0.4918868,0.2136283065296993,-0.0057412304943819
0.4436301,-0.49288616,0.2155843388436495,-0.00637128899313
0.44168317,-0.4903476,0.2105105875356674,-0.00345901891125
0.44396868,-0.49006084,0.2084562426319324,-0.0013680954015757
0.44321266,-0.49539825,0.2055021715336196,-0.0002751100996296
0.4419191,-0.49842122,0.2082688173928256,0.0005922297501161
0.44212693,-0.49827224,0.2147448688194285,-0.0048661795780266
0.44268614,-0.5011657,0.2269743759192151,-0.0134681796721643
0.44102445,-0.49920872,0.223069553428856,-0.014503235224193
0.44447863,-0.49555424,0.2371857810301888,-0.0257866948050747
0.4499872,-0.49547315,0.2452765781695449,-0.0199287356845751
0.45455182,-0.49579015,0.1806183441623564,-0.024729710096298
0.4580056,-0.4962236,0.2186894682007388,-0.0621820802833549
0.45636368,-0.49634996,0.26801154812263,-0.0829336623341497
0.45956838,-0.4967342,0.30326315784316,-0.123292281707493
0.4620033,-0.499024,0.3372024621790229,-0.1563421835813195
0.46179906,-0.5019591,0.3602272094479443,-0.1844452211756497
0.4632254,-0.5026575,0.39950119985262,-0.2247412823403374
0.46013638,-0.5030331,0.4272856122281381,-0.2583667091378211
0.45763046,-0.5042127,0.4483413754784591,-0.2916286414848424
0.45042023,-0.50438946,0.4729677823300903,-0.3262369481430544
0.44376835,-0.50288045,0.4821881433447244,-0.3398919401444755
0.43260768,-0.502215,0.5006505425550757,-0.3613232405932015
0.42370695,-0.50171536,0.4878231706092324,-0.3721458083284849
0.41757333,-0.50064725,0.5123118640360034,-0.3801819421429474
0.41424233,-0.49933076,0.5048317005933501,-0.3862148542249146
0.4104196,-0.49234098,0.5228570332656653,-0.4064737256983281
0.40824902,-0.49261418,0.5362458134567181,-0.4216512338947816
0.40829223,-0.49276412,0.5582310573982843,-0.4418457800586199
0.407707,-0.4913714,0.5558066867246141,-0.4505690859607427
0.40682703,-0.4907224,0.5662120996304413,-0.4555527278660253
0.40274167,-0.489903,0.5830944910992494,-0.4768645491383241
0.39768478,-0.4896604,0.5707757563549353,-0.4807574583439223
0.3976183,-0.48473445,0.5576305345083358,-0.4922943460565901
0.40088844,-0.4859227,0.6248699721814915,-0.5466369479349911
0.40552464,-0.48665175,0.6634955500111253,-0.5535725416293986
0.40919787,-0.49151826,0.6752698750716039,-0.5863321508712275
0.4107664,-0.49415472,0.6914537242681484,-0.6003381265633171
0.41654477,-0.49806145,0.6872961968527941,-0.6008842875034864
0.4166617,-0.4991178,0.7130397616544721,-0.612059523949449
0.41389662,-0.50527054,0.6752867548276754,-0.5906556871619701
0.41246405,-0.5016203,0.6680250110501113,-0.5744592893451206
0.41236237,-0.49861217,0.6546204424096946,-0.5566434268976564
0.41048685,-0.49993518,0.6142360937547638,-0.506577326123878
0.4034354,-0.49957395,0.5969980021500683,-0.494756032492587
0.4043108,-0.49986374,0.5586511960915447,-0.4685682390874607
0.40050727,-0.4998479,0.5675748675743756,-0.4388304788252135
0.398426,-0.50198036,0.5524507885368771,-0.436968630310123
0.3941305,-0.5043098,0.5537555862795344,-0.443891869014194
0.38418847,-0.5020833,0.5429527997008815,-0.4370162753811908
0.37810037,-0.4949622,0.5518359908010032,-0.4313763664216323
0.37252152,-0.5034676,0.5520049226998707,-0.440415039629228
0.36529574,-0.5030676,0.5739742865337066,-0.4523875538696696
0.35406393,-0.5024527,0.5693196200592938,-0.4740530525479382
0.34827796,-0.50278795,0.5628825152004746,-0.4718395652148612
0.3421227,-0.5011233,0.5978951368581462,-0.4952768247687335
0.34039593,-0.50010383,0.6225860942737548,-0.5182759215850021
0.3403611,-0.50026065,0.6484086341199405,-0.5598397084229125
0.3399533,-0.50179565,0.6491132673749036,-0.5622029363223018
0.34107396,-0.502555,0.6600290249038648,-0.5702555604696691
0.34287727,-0.5021233,0.6485421971894162,-0.5580905010118411
0.34478182,-0.5020759,0.6719264199237928,-0.5822236888080092
0.34788665,-0.500642,0.657264271643285,-0.574592846078559
0.34954813,-0.4969525,0.6669990965684073,-0.5698945672693325
0.35210696,-0.49653295,0.6533327767996309,-0.5611716654763574
0.35165682,-0.49769568,0.6453639489516353,-0.5491905842288015
0.35736486,-0.50281453,0.6570812564113894,-0.5728227526539889
0.35736373,-0.50628346,0.6672051991930524,-0.5922778315310826
0.35827714,-0.5067562,0.6773045700072661,-0.5947934205243354
0.36037022,-0.5067462,0.6794097381248955,-0.6163557502072007
0.36297962,-0.50676525,0.6781614104030301,-0.6050361589184485
0.36573267,-0.5067368,0.7021517409697613,-0.6188145643807353
0.3687401,-0.5075016,0.7060438828764711,-0.6054620645244522
0.37058094,-0.50734866,0.7079484375646351,-0.6330506237627984
0.3752791,-0.5065994,0.7117298108900342,-0.64422812387425
0.374184,-0.50547683,0.7199372314782652,-0.6551640010006295
0.3714279,-0.5049814,0.7304500693330733,-0.6652746695125535
0.3756178,-0.5060392,0.7543612380684839,-0.6822599268816077
0.37810108,-0.5054917,0.741662633477125,-0.6790105234052383
0.38174292,-0.5064756,0.7395719854086017,-0.6817127944861531
0.38315773,-0.5102294,0.7129225762701135,-0.6489134593163796
0.38480738,-0.5105075,0.7072879122697223,-0.6269737888581581
0.3875896,-0.5103601,0.6330756932745204,-0.5173491866940121
0.38760912,-0.5082035,0.5704749126278755,-0.5795170467608154
0.38668913,-0.5062247,0.6392202275762292,-0.5654616214016495
0.38537574,-0.50313973,0.6877281194693435,-0.6216516355035033
0.3856551,-0.50098574,0.7670444080021602,-0.6689472801095113
0.38860378,-0.49915105,0.7939671585788359,-0.7364208383164996
0.3907295,-0.49859124,0.8546213228519554,-0.7975850822054816
0.39165527,-0.4978035,0.8769356836432348,-0.8495753908583644
0.39303115,-0.4965579,0.9054312679664172,-0.866023404351391
0.39600617,-0.49491668,0.923089935609046,-0.8916934433712407
0.39875582,-0.49351728,0.938402526174253,-0.9026109527438676
0.40080798,-0.49159935,0.9413039350052078,-0.9346000903820372
0.40252587,-0.4910712,0.9642096383909404,-0.9574173093228144
0.4038999,-0.4904619,0.9766141121376548,-0.9858192525522024
0.40457168,-0.4902944,1.0,-0.9966680277049422
0.4059271,-0.4898955,0.990581717659266,-1.0
0.40739077,-0.48838803,0.9811470888980268,-0.9770543443241424
0.40918282,-0.48814848,0.956021322173877,-0.931625574186776
0.41067165,-0.4879426,0.9170853900832416,-0.9044712765415271
0.4130771,-0.48644873,0.8935620924775807,-0.8543657247290047
0.41340148,-0.48703158,0.833476626180181,-0.7694606251344512
0.41434032,-0.48735976,0.7620008709883466,-0.688255936168636
0.41321784,-0.4868774,0.7010393968496728,-0.6182023573765882
0.41269934,-0.48709196,0.6615707336052526,-0.7106775155156884
0.4129007,-0.48717433,0.7842659707515872,-0.6543804250529272
0.41266093,-0.4860971,0.7544498215929135,-0.6704911354225583
0.41158015,-0.48586583,0.720334454413248,-0.6297619203867321
0.41059196,-0.48576432,0.6654236285618014,-0.6020163956839312
0.4083051,-0.486188,0.6437219100554912,-0.5526086092458158
0.40745512,-0.4859623,0.5883215678108694,-0.4850612691961778
0.4056767,-0.48578086,0.5387791219238731,-0.4120254410376076
0.4044626,-0.4857082,0.4899024707734885,-0.3503940781205684
0.40172198,-0.48544148,0.4435791750522216,-0.3023573384188261
0.39885846,-0.4851204,0.4045040552748421,-0.2756716183484506
0.3964298,-0.48485306,0.3927190630050716,-0.2540625835428778
0.39526802,-0.48483744,0.372825053390279,-0.2125923409930827
0.39502284,-0.4847358,0.370791811603878,-0.197024702276967
0.393699,-0.48500854,0.3593263048813856,-0.1891752889912157
0.39224917,-0.4852092,0.345190395897226,-0.1619902075563967
0.39262387,-0.4854369,0.3344405977035096,-0.1613592904269273
0.39117077,-0.4866521,0.3532551688232705,-0.1932108910115694
0.3897204,-0.4870415,0.3605772577720885,-0.1968336001341519
0.3907532,-0.4875707,0.3602725449758389,-0.1943170473880739
0.39212075,-0.4878421,0.3694608051507304,-0.2118373065609119
0.3924613,-0.48830402,0.3840833978901264,-0.2175535223346075
0.39413875,-0.48820484,0.3782653667575477,-0.2299346508046643
0.39266667,-0.48729905,0.3925376899796323,-0.2416586844272296
0.3918251,-0.4853203,0.4040231357774388,-0.2485778235468619
0.3907086,-0.48492435,0.4014384564296736,-0.2483050196818411
0.39015344,-0.48534244,0.4144964675910327,-0.2641765661258364
0.38944775,-0.48593184,0.4230054356459807,-0.2735153613063137
0.3875334,-0.48678875,0.4300391945605256,-0.2711181979635813
0.38479307,-0.48628664,0.4187052972012761,-0.271734740381265
0.3837838,-0.4865897,0.4222644318142208,-0.2742257396936065
0.38316947,-0.4865056,0.4303069302295179,-0.2859207505250758
0.3811718,-0.4867204,0.4395909351055938,-0.2946496598397537
0.37968472,-0.48706812,0.4378321934003136,-0.2940861187724907
0.37934387,-0.487788,0.4442381681367702,-0.2971651520886255
0.37941536,-0.48829496,0.4337512137966557,-0.2852392035737912
0.37845716,-0.48921132,0.4298387053987941,-0.2794382497231836
0.37843773,-0.4898072,0.4172341283299592,-0.2683777064105769
0.3785052,-0.4901673,0.410674798652647,-0.2517553176851426
0.37833595,-0.4910716,0.3981688587536016,-0.239833229901118
0.3777802,-0.49150214,0.3842511137155321,-0.2152282620219267
0.3767667,-0.49175164,0.3622292669506372,-0.1915378320971839
0.3762856,-0.4918451,0.3463532084672924,-0.1785140021789139
0.3757223,-0.49224055,0.3312426135521078,-0.1539911676009267
0.37621367,-0.49265146,0.3144505529135056,-0.1414018377776067
0.37615016,-0.49261707,0.3122283090407535,-0.1281036484069221
0.37633556,-0.4925146,0.298121337924424,-0.11229254480832
0.37617183,-0.4922744,0.2891439054672541,-0.1026040539238754
0.3759348,-0.4921785,0.2886977890167254,-0.1012988399085514
0.37586546,-0.4920233,0.2873311129203388,-0.0898197970356012
0.3758497,-0.4918508,0.2708278296198397,-0.0821036776959269
0.37563887,-0.49194396,0.2609068324349689,-0.075016489478757
0.37513238,-0.4919616,0.2611676908613691,-0.0713089753768965
0.37477183,-0.49206814,0.2620010762008485,-0.06806554988336
0.37325516,-0.49229237,0.2521920865188197,-0.0578559171801355
0.37283453,-0.49279103,0.2484477027290337,-0.0507167834471451
0.37257782,-0.4931247,0.2420200443535709,-0.0474634572938052
0.37264895,-0.49345535,0.2368613684447821,-0.0354514734650459
0.3726646,-0.493923,0.2423655125859592,-0.045614249405751
0.37296215,-0.4949962,0.235311381674469,-0.0350569805112559
0.37294355,-0.49570063,0.2363263977929045,-0.0364256810207539
0.37317568,-0.49651676,0.2368599183868298,-0.0381419475259745
0.37357464,-0.49758783,0.2372663538546495,-0.0346688480694626
0.37424448,-0.4986867,0.2300154345038854,-0.0347241288114358
0.37514022,-0.49872908,0.2352801048402848,-0.0346411639904166
0.37616992,-0.49889085,0.2337998468956542,-0.0321749794828985
0.37672508,-0.4994165,0.2346538099767765,-0.0370706698353789
0.37726405,-0.49955106,0.2333563096721863,-0.0354621024875868
0.378639,-0.49919385,0.2308278854445273,-0.0361007632116663
0.38038513,-0.4988125,0.2352813854652442,-0.0374630217277228
0.38092113,-0.49846718,0.2351151732211834,-0.0392481807628297
0.38157448,-0.4980104,0.2336581538443642,-0.0387591224307803
0.38216865,-0.49746647,0.2321474875565922,-0.0386049138656767
0.3826936,-0.49706364,0.2368702349012816,-0.0413748962673094
0.38515458,-0.4967867,0.2341531003796115,-0.0372912896719102
0.3868067,-0.4964963,0.2335462743310771,-0.0361587740088808
0.38829175,-0.49596274,0.2298655958131349,-0.0345655578279818
0.38948235,-0.49562055,0.2293739588105907,-0.0328154653998212
0.39034227,-0.49531212,0.2292607312184886,-0.035433950893025
0.39105833,-0.4949626,0.2303882093975173,-0.0330533316861868
0.39226407,-0.494749,0.2282642763714049,-0.0320223620778927
0.39365047,-0.49449548,0.2265951968983196,-0.0288340521180355
0.39451152,-0.4940051,0.2272637992585122,-0.0310089492508578
0.3953672,-0.4936795,0.2275184541019346,-0.0284020072133206
0.39520603,-0.4934846,0.2249640178887997,-0.0256480119580876
0.39530727,-0.4933164,0.2172624173078199,-0.0224014244693834
0.39547896,-0.49315718,0.2230244679715516,-0.0205172537653037
0.3955229,-0.49288136,0.2215339300709709,-0.0215942800109551
0.39598563,-0.49232492,0.2230063647700675,-0.0220710488535139
0.3957977,-0.49197423,0.2182754393303933,-0.0197862047179231
0.39534372,-0.49177763,0.2228836376399676,-0.0221937128693883
0.3952495,-0.49141446,0.2275663191649477,-0.0216017630633894
0.39492315,-0.4912043,0.2225024993861512,-0.0203971504830593
0.39565045,-0.49109858,0.2237242624599111,-0.0204795236872827
0.39526936,-0.49114132,0.2265174377291349,-0.0214756958875866
0.39460853,-0.4911048,0.2247748874861957,-0.0212501283079715
0.39435217,-0.4910734,0.2226128805345011,-0.0185540128974806
0.3934442,-0.49108893,0.2227932844709129,-0.0189236509647756
0.39170486,-0.4910988,0.2221577831604725,-0.0204359286832147
0.39124942,-0.49110517,0.2268349448843871,-0.0217904960268354
0.3908166,-0.49115998,0.2235705094087738,-0.0223157623908195
0.3901168,-0.49119392,0.2236144528465763,-0.0226094257883077
0.38936794,-0.4912365,0.2254491140160416,-0.0223875936123255
0.3889173,-0.4913434,0.2235247966017012,-0.0196206153851307
0.38838196,-0.49143365,0.2216454954713282,-0.0212894970001132
0.38796845,-0.4915437,0.2275065702023138,-0.0187856431119186
0.3871553,-0.49155846,0.2215812796684168,-0.0202577135076183
0.38672838,-0.4915737,0.2198603734477959,-0.0187764206905861
0.38662326,-0.4915905,0.2273428859868889,-0.0177498310788727
0.38656515,-0.49160886,0.2245591114202344,-0.0210962031654939
0.38634518,-0.49178138,0.2250444362023472,-0.0205277641914335
0.3858017,-0.4918547,0.2253018519880561,-0.0220611663629473
0.38475662,-0.49202743,0.226175593327185,-0.0248443270858189
0.38435125,-0.49221158,0.2317705810621672,-0.0259880518320279
0.38447398,-0.4925006,0.2277412646029771,-0.0248982359370005
